Year,2012,2012,2013,2013,2014,2014,2015,2015
Gender,M,F,M,F,M,F,M,F
"Agriculture, Forestry and Fisheries",35,15,34,16,40,24,44,22
Architecture,0,0,0,0,0,0,0,0
Business and administration,"2,229","2,70","2,824","3,153","2,979","3,13","2,624","3,222"
Computing,663,402,915,468,893,439,844,455
Education (Arts),433,703,"1,288","2,181","1,440","2,04","2,454","2,988"
Education (Science),232,151,308,203,383,285,696,347
Engineering,5,2,11,4,15,0,0,0
Environment,7,15,15,17,12,25,6,9
Health and Welfare,247,218,510,446,585,586,635,870
Humanities and Arts,220,252,308,302,335,368,363,296
Journalism and Information,144,353,113,302,124,332,183,315
Law,99,106,147,232,275,367,328,284
Life Science and Physical Science,4,5,6,6,7,15,8,20
Manufacturing,0,0,0,0,0,0,0,0
Mathematics and Statistics,3,5,1,3,30,38,35,47
Security and Conflict Resolution,0,0,9,4,5,13,87,72
Services,5,29,8,19,2,17,18,30
Social and Behavioral Science,180,342,177,389,183,452,222,443
Teacher Training,212,486,187,219,164,430,127,236
Veterinary,0,0,0,0,0,0,0,0
Other,277,330,244,324,242,299,267,387
