Year,2012,2012,2013,2013,2014,2014,2015,2015
Gender,M,F,M,F,M,F,M,F
"Agriculture, Forestry and Fisheries",0,0,0,0,0,0,0,0
Architecture,0,0,0,0,0,0,0,0
Business and administration,7,36,5,8,32,32,32,16
Computing,3,9,2,0,10,5,4,1
Education (Arts),0,0,4,4,4,5,3,3
Education (Science),0,0,0,0,0,0,0,0
Engineering,0,0,0,0,0,0,0,0
Environment,0,0,0,0,0,0,0,0
Health and Welfare,4,25,14,16,4,23,9,30
Humanities and Arts,0,0,6,4,14,13,8,9
Journalism and Information,0,0,0,0,0,0,0,0
Law,0,0,0,0,0,0,0,0
Life Science and Physical Science,0,0,0,0,0,0,0,0
Manufacturing,0,0,0,0,0,0,0,0
Mathematics and Statistics,0,7,0,0,0,0,0,0
Security and Conflict Resolution,0,0,0,0,0,0,0,0
Services,8,6,9,7,6,13,9,17
Social and Behavioral Science,0,0,0,0,0,0,0,0
Teacher Training,0,0,0,0,0,0,0,0
Veterinary,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0
