Year,2012,2012,2013,2013,2014,2014,2015,2015
Gender,M,F,M,F,M,F,M,F
"Agriculture, Forestry and Fisheries",0,0,0,0,0,0,0,0
Architecture,0,0,0,0,0,0,0,0
Business and administration,115,63,132,81,90,54,120,68
Computing,87,25,81,20,56,16,76,23
Education (Arts),0,0,28,18,19,14,6,4
Education (Science),0,0,0,0,0,0,0,0
Engineering,42,1,39,2,21,2,22,3
Environment,0,0,0,0,0,0,0,0
Health and Welfare,0,0,0,0,0,0,0,0
Humanities and Arts,0,0,0,0,3,0,0,0
Journalism and Information,0,0,0,0,0,0,0,0
Law,0,0,0,0,0,0,0,0
Life Science and Physical Science,0,0,0,0,0,0,0,0
Manufacturing,0,0,0,0,0,0,0,0
Mathematics and Statistics,0,0,0,0,0,0,0,0
Security and Conflict Resolution,0,0,0,0,0,0,0,0
Services,0,0,0,0,0,0,0,0
Social and Behavioral Science,0,0,0,0,0,0,0,0
Teacher Training,0,0,24,29,11,23,13,20
Veterinary,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0
